S.No,# Iterations,MSE,MAE,EAV,R^2
1,10,4.418898011,2.001531109,0.35137986,-5.809046067
2,20,0.927470906,0.792843729,0.374701783,-0.429132808
3,50,0.414570221,0.485520261,0.379796538,0.361191924
4,100,0.414570221,0.485520261,0.379796538,0.361191924
5,1000,0.414570221,0.485520261,0.379796538,0.361191924
6,5000,0.414570221,0.485520261,0.379796538,0.361191924
7,10000,0.414570221,0.485520261,0.379796538,0.361191924
8,15000,0.414570221,0.485520261,0.379796538,0.361191924
9,20000,0.414570221,0.485520261,0.379796538,0.361191924
10,25000,0.414570221,0.485520261,0.379796538,0.361191924